v = 30
a = 9
(b1, b2) = (37, 41)
c = 125
(d1, d2) = (17, 4)
(e1, e2) = (28, 11)
(f1, f2) = (18, 12)
(g1, g2) = (32, 41)
(h1, h2) = (14, 21)
(i1, i2) = (12, 7)
l = 5


Vertici 46
0 1 8
0 2 7
0 3 8
0 4 4
0 5 6
0 6 4
0 7 3
0 8 2
0 9 4
0 10 7
0 11 7
0 12 5
0 13 8
0 14 5
0 15 6
0 16 8
0 17 4
0 18 5
0 19 4
0 20 4
0 21 7
0 22 3
0 23 7
0 24 6
0 25 8
0 26 9
0 27 6
0 28 7
0 29 6
0 30 9
0 31 8
0 32 7
0 33 7
0 34 6
0 35 9
0 36 5
0 37 7
0 38 2
0 39 10
0 40 8
0 41 9
0 42 6
0 43 5
0 44 10
0 45 9
1 2 4
1 3 10
1 4 6
1 5 8
1 6 7
1 7 9
1 8 9
1 9 10
1 10 7
1 11 9
1 12 7
1 13 6
1 14 7
1 15 8
1 16 4
1 17 4
1 18 7
1 19 8
1 20 10
1 21 7
1 22 11
1 23 8
1 24 6
1 25 7
1 26 9
1 27 6
1 28 9
1 29 8
1 30 8
1 31 7
1 32 8
1 33 9
1 34 9
1 35 9
1 36 6
1 37 8
1 38 10
1 39 4
1 40 4
1 41 6
1 42 10
1 43 8
1 44 8
1 45 10
2 3 7
2 4 7
2 5 8
2 6 7
2 7 10
2 8 5
2 9 9
2 10 6
2 11 6
2 12 8
2 13 9
2 14 8
2 15 8
2 16 8
2 17 8
2 18 8
2 19 6
2 20 10
2 21 7
2 22 8
2 23 6
2 24 7
2 25 8
2 26 8
2 27 9
2 28 7
2 29 9
2 30 4
2 31 9
2 32 4
2 33 9
2 34 6
2 35 7
2 36 2
2 37 4
2 38 8
2 39 8
2 40 8
2 41 6
2 42 8
2 43 10
2 44 10
2 45 6
3 4 7
3 5 9
3 6 7
3 7 10
3 8 7
3 9 5
3 10 7
3 11 8
3 12 9
3 13 9
3 14 6
3 15 2
3 16 7
3 17 9
3 18 8
3 19 4
3 20 7
3 21 4
3 22 7
3 23 3
3 24 6
3 25 5
3 26 7
3 27 9
3 28 6
3 29 7
3 30 7
3 31 8
3 32 5
3 33 8
3 34 9
3 35 6
3 36 5
3 37 3
3 38 6
3 39 7
3 40 8
3 41 7
3 42 6
3 43 10
3 44 5
3 45 6
4 5 7
4 6 8
4 7 5
4 8 6
4 9 8
4 10 6
4 11 8
4 12 6
4 13 8
4 14 9
4 15 9
4 16 9
4 17 3
4 18 4
4 19 7
4 20 6
4 21 10
4 22 7
4 23 10
4 24 8
4 25 9
4 26 5
4 27 8
4 28 3
4 29 6
4 30 10
4 31 4
4 32 8
4 33 5
4 34 7
4 35 6
4 36 8
4 37 6
4 38 6
4 39 10
4 40 7
4 41 8
4 42 9
4 43 3
4 44 7
4 45 7
5 6 6
5 7 6
5 8 4
5 9 7
5 10 2
5 11 5
5 12 4
5 13 3
5 14 7
5 15 8
5 16 9
5 17 4
5 18 4
5 19 7
5 20 3
5 21 6
5 22 3
5 23 6
5 24 7
5 25 8
5 26 3
5 27 8
5 28 5
5 29 5
5 30 7
5 31 7
5 32 4
5 33 5
5 34 5
5 35 8
5 36 7
5 37 6
5 38 5
5 39 4
5 40 7
5 41 6
5 42 7
5 43 6
5 44 5
5 45 7
6 7 6
6 8 2
6 9 7
6 10 7
6 11 10
6 12 8
6 13 9
6 14 5
6 15 5
6 16 8
6 17 8
6 18 8
6 19 3
6 20 7
6 21 7
6 22 7
6 23 7
6 24 5
6 25 8
6 26 9
6 27 10
6 28 10
6 29 7
6 30 11
6 31 9
6 32 5
6 33 10
6 34 8
6 35 9
6 36 5
6 37 7
6 38 5
6 39 10
6 40 7
6 41 7
6 42 5
6 43 8
6 44 9
6 45 6
7 8 5
7 9 5
7 10 4
7 11 4
7 12 2
7 13 6
7 14 7
7 15 9
7 16 9
7 17 7
7 18 4
7 19 7
7 20 5
7 21 8
7 22 4
7 23 7
7 24 6
7 25 7
7 26 8
7 27 8
7 28 6
7 29 4
7 30 6
7 31 5
7 32 6
7 33 5
7 34 5
7 35 7
7 36 8
7 37 8
7 38 5
7 39 10
7 40 7
7 41 8
7 42 7
7 43 2
7 44 9
7 45 6
8 9 6
8 10 6
8 11 9
8 12 7
8 13 7
8 14 3
8 15 5
8 16 6
8 17 6
8 18 7
8 19 5
8 20 6
8 21 5
8 22 5
8 23 9
8 24 4
8 25 6
8 26 7
8 27 8
8 28 8
8 29 6
8 30 9
8 31 8
8 32 7
8 33 9
8 34 7
8 35 8
8 36 3
8 37 5
8 38 4
8 39 8
8 40 9
8 41 8
8 42 6
8 43 7
8 44 9
8 45 8
9 10 6
9 11 3
9 12 4
9 13 4
9 14 5
9 15 4
9 16 7
9 17 8
9 18 4
9 19 4
9 20 4
9 21 6
9 22 6
9 23 8
9 24 4
9 25 6
9 26 6
9 27 8
9 28 6
9 29 2
9 30 5
9 31 4
9 32 7
9 33 7
9 34 6
9 35 5
9 36 8
9 37 8
9 38 2
9 39 9
9 40 7
9 41 8
9 42 6
9 43 6
9 44 8
9 45 10
10 11 3
10 12 2
10 13 5
10 14 5
10 15 6
10 16 7
10 17 6
10 18 2
10 19 7
10 20 5
10 21 4
10 22 5
10 23 4
10 24 5
10 25 6
10 26 5
10 27 6
10 28 4
10 29 4
10 30 5
10 31 6
10 32 2
10 33 3
10 34 3
10 35 7
10 36 6
10 37 4
10 38 5
10 39 6
10 40 5
10 41 4
10 42 5
10 43 4
10 44 7
10 45 7
11 12 2
11 13 6
11 14 6
11 15 7
11 16 9
11 17 9
11 18 5
11 19 7
11 20 7
11 21 7
11 22 8
11 23 7
11 24 6
11 25 3
11 26 8
11 27 9
11 28 7
11 29 4
11 30 2
11 31 6
11 32 5
11 33 6
11 34 5
11 35 7
11 36 8
11 37 7
11 38 5
